date,code,shares,buy_price,buy_date,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,weight
2026-03-16,002812,300,50.9,2026-02-02,71.66,21498.0,6223.42,40.74,5.265
2026-03-16,601126,200,31.8,2026-01-08,48.22,9644.0,3282.09,51.59,2.6999999999999997
2026-03-16,601208,100,31.6,2026-03-11,32.76,3276.0,115.05,3.64,3.375
2026-03-16,603568,400,27.58,2026-02-12,28.1,11240.0,204.69,1.85,3.51
2026-03-17,000657,900,30.0,2026-01-07,53.55,48195.0,21186.9,78.45,2.34
2026-03-17,002812,300,50.9,2026-02-02,68.9,20670.0,5395.42,35.32,5.265
2026-03-17,600026,1100,23.97,2026-03-17,23.22,25542.0,-832.91,-3.16,7.02
2026-03-17,601126,200,31.8,2026-01-08,47.51,9502.0,3140.09,49.36,2.6999999999999997
2026-03-17,601872,500,16.8,2026-03-17,16.49,8245.0,-157.52,-1.87,7.02
2026-03-18,000657,900,30.0,2026-01-07,54.44,48996.0,21987.9,81.41,2.34
2026-03-18,002812,300,50.9,2026-02-02,68.79,20637.0,5362.42,35.11,5.265
2026-03-18,600026,1100,23.97,2026-03-17,24.88,27368.0,993.09,3.77,7.02
2026-03-18,601126,200,31.8,2026-01-08,48.22,9644.0,3282.09,51.59,2.6999999999999997
2026-03-18,601872,500,16.8,2026-03-17,18.02,9010.0,607.48,7.23,7.02
2026-03-19,000657,900,30.0,2026-01-07,51.39,46251.0,19242.9,71.25,2.34
2026-03-19,002156,300,46.38,2026-03-19,45.95,13785.0,-133.17,-0.96,3.51
2026-03-19,002812,300,50.9,2026-02-02,64.66,19398.0,4123.42,27.0,5.265
2026-03-19,600584,200,44.79,2026-03-19,44.19,8838.0,-122.69,-1.37,2.6999999999999997
2026-03-19,600875,200,38.6,2026-03-19,38.5,7700.0,-22.32,-0.29,3.51
2026-03-19,601126,200,31.8,2026-01-08,46.1,9220.0,2858.09,44.93,2.6999999999999997
2026-03-19,601872,500,16.8,2026-03-17,17.66,8830.0,427.48,5.09,7.02
2026-03-19,603308,100,62.22,2026-03-19,61.16,6116.0,-107.87,-1.73,3.51
2026-03-20,000657,900,30.0,2026-01-07,50.09,45081.0,18072.9,66.92,2.34
2026-03-20,002812,300,50.9,2026-02-02,66.65,19995.0,4720.42,30.9,5.265
2026-03-20,600256,1700,6.83,2026-03-20,7.12,12104.0,489.52,4.21,3.51
2026-03-20,600584,200,44.79,2026-03-19,42.03,8406.0,-554.69,-6.19,2.6999999999999997
2026-03-20,601126,200,31.8,2026-01-08,46.21,9242.0,2880.09,45.27,2.6999999999999997
2026-03-20,601872,500,16.8,2026-03-17,16.78,8390.0,-12.52,-0.15,7.02
2026-03-23,002756,100,61.0,2026-03-23,64.0,6400.0,298.17,4.89,0.8399999999999999
2026-03-23,002812,300,50.9,2026-02-02,66.0,19800.0,4525.42,29.63,5.265
2026-03-23,601126,200,31.8,2026-01-08,43.28,8656.0,2294.09,36.06,2.6999999999999997
2026-03-23,601872,500,16.8,2026-03-17,17.0,8500.0,97.48,1.16,7.02
2026-03-24,000688,500,33.24,2026-03-24,35.75,17875.0,1250.01,7.52,1.5749999999999997
2026-03-24,000703,2600,12.29,2026-03-24,12.14,31564.0,-399.59,-1.25,5.3999999999999995
2026-03-24,002756,100,61.0,2026-03-23,69.54,6954.0,852.17,13.97,0.8399999999999999
2026-03-24,002812,300,50.9,2026-02-02,66.59,19977.0,4702.42,30.79,5.265
2026-03-24,003035,900,9.35,2026-03-24,9.49,8541.0,123.48,1.47,3.0
2026-03-24,601126,200,31.8,2026-01-08,43.56,8712.0,2350.09,36.94,2.6999999999999997
2026-03-24,601872,500,16.8,2026-03-17,18.1,9050.0,647.48,7.71,7.02
2026-03-25,000039,1000,11.41,2026-03-25,11.4,11400.0,-13.42,-0.12,4.5
2026-03-25,000338,100,24.81,2026-03-25,24.52,2452.0,-29.74,-1.2,4.3875
2026-03-25,000516,400,4.9,2026-03-25,4.96,1984.0,23.41,1.19,6.75
2026-03-25,000703,2600,12.29,2026-03-24,12.8,33280.0,1316.41,4.12,5.3999999999999995
2026-03-25,000792,100,37.3,2026-03-25,36.77,3677.0,-54.12,-1.45,2.6999999999999997
2026-03-25,002812,300,50.9,2026-02-02,67.01,20103.0,4828.42,31.61,5.265
2026-03-25,600487,100,46.08,2026-03-25,48.17,4817.0,207.62,4.5,10.53
2026-03-25,601126,200,31.8,2026-01-08,44.7,8940.0,2578.09,40.52,2.6999999999999997
2026-03-25,601872,500,16.8,2026-03-17,17.41,8705.0,302.48,3.6,7.02
2026-03-25,601991,2000,4.18,2026-03-25,4.46,8920.0,557.49,6.67,2.6999999999999997
2026-03-25,603308,100,62.7,2026-03-25,63.53,6353.0,81.12,1.29,8.775
2026-03-26,000039,1000,11.41,2026-03-25,11.4,11400.0,-13.42,-0.12,4.5
2026-03-26,000516,400,4.9,2026-03-25,5.01,2004.0,43.41,2.21,6.75
