date,close_sh,amount_sh,amount_sz,amount_total
2023-10-13,3088.0991,309538085300.0,498900705700.0,808438791000.0
2023-10-16,3073.813,314394203000.0,498543938100.0,812938141100.0
2023-10-17,3083.4964,300026228500.0,435335290600.0,735361519100.0
2023-10-18,3058.7098,310306035800.0,456343828300.0,766649864100.0
2023-10-19,3005.3934,355069177000.0,457615135800.0,812684312800.0
2023-10-20,2983.0585,307388393300.0,424332538800.0,731720932100.0
2023-10-23,2939.2913,304028962500.0,417090860600.0,721119823100.0
2023-10-24,2962.2437,339902176900.0,464159717200.0,804061894100.0
2023-10-25,2974.1135,362846635500.0,510929773500.0,873776409000.0
2023-10-26,2988.2992,332258828000.0,510189439800.0,842448267800.0
2023-10-27,3017.7842,385692318100.0,578695625100.0,964387943200.0
2023-10-30,3021.5534,439587974800.0,598518490100.0,1038106464900.0
2023-10-31,3018.7706,386277226400.0,532043957600.0,918321184000.0
2023-11-01,3023.0765,347121456500.0,464810907900.0,811932364400.0
2023-11-02,3009.4058,311936400800.0,454843216300.0,766779617100.0
2023-11-03,3030.7977,329300477500.0,480246665500.0,809547143000.0
2023-11-06,3058.4105,447638159900.0,616550311100.0,1064188471000.0
2023-11-07,3057.2697,401065573900.0,591933989900.0,992999563800.0
2023-11-08,3052.3726,415289260100.0,621326423700.0,1036615683800.0
2023-11-09,3053.2792,388556747100.0,573888744700.0,962445491800.0
2023-11-10,3038.9699,346913084500.0,480532950100.0,827446034600.0
2023-11-13,3046.5329,344120017200.0,524462039300.0,868582056500.0
2023-11-14,3056.0703,358249840200.0,535239000600.0,893488840800.0
2023-11-15,3072.8348,389515978000.0,600546928300.0,990062906300.0
2023-11-16,3050.9257,329364382700.0,521282824000.0,850647206700.0
2023-11-17,3054.3655,328568598800.0,498076823000.0,826645421800.0
2023-11-20,3068.3191,367109310200.0,560232951500.0,927342261700.0
2023-11-21,3067.9328,391558034900.0,606515259400.0,998073294300.0
2023-11-22,3043.611,330385482700.0,545051033900.0,875436516600.0
2023-11-23,3061.8562,315612515600.0,508590880000.0,824203395600.0
2023-11-24,3040.9717,311509355900.0,501783839700.0,813293195600.0
2023-11-27,3031.7002,350705835500.0,478095879600.0,828801715100.0
2023-11-28,3038.5545,317303697700.0,455463964000.0,772767661700.0
2023-11-29,3021.6874,322141206100.0,452910473500.0,775051679600.0
2023-11-30,3029.6727,326755696100.0,446730903500.0,773486599600.0
2023-12-01,3031.6358,335547176400.0,498585865700.0,834133042100.0
2023-12-04,3022.9138,344279696000.0,506888133600.0,851167829600.0
2023-12-05,2972.2959,340454488100.0,482035889200.0,822490377300.0
2023-12-06,2968.9334,336218906400.0,480819528100.0,817038434500.0
2023-12-07,2966.2061,348039624000.0,472176918600.0,820216542600.0
